Red,Green,Blue
0.522,0.261,0.217
0.522,0.261,0.217
0.55,0.25,0.2
0.545,0.227,0.227
0.556,0.222,0.222
0.545,0.227,0.227
0.524,0.238,0.238
0.5,0.273,0.227
0.5,0.292,0.208
0.526,0.263,0.211
0.545,0.227,0.227
0.556,0.222,0.222
0.55,0.25,0.2
0.529,0.235,0.235
0.579,0.211,0.211
0.55,0.25,0.2
0.556,0.222,0.222
0.5,0.273,0.227
0.524,0.286,0.19
0.55,0.25,0.2
0.588,0.235,0.176
0.55,0.25,0.2
0.556,0.222,0.222
0.55,0.25,0.2
0.588,0.235,0.176
0.55,0.25,0.2
0.562,0.25,0.187
0.55,0.25,0.2
0.588,0.235,0.176
0.588,0.235,0.176
0.579,0.211,0.211
0.588,0.235,0.176
0.55,0.25,0.2
0.562,0.25,0.187
0.55,0.25,0.2
0.562,0.25,0.187
0.588,0.235,0.176
0.556,0.222,0.222
0.562,0.25,0.187
0.556,0.222,0.222
0.6,0.2,0.2
0.588,0.235,0.176
0.562,0.25,0.187
0.588,0.235,0.176
0.55,0.25,0.2
0.562,0.25,0.187
0.588,0.235,0.176
0.571,0.214,0.214
0.6,0.2,0.2
0.571,0.214,0.214
0.6,0.2,0.2
0.588,0.235,0.176
0.6,0.2,0.2
0.579,0.211,0.211
0.6,0.2,0.2
0.562,0.25,0.187
0.588,0.235,0.176
0.6,0.2,0.2
0.562,0.25,0.187
0.562,0.25,0.187
0.571,0.238,0.19
0.588,0.235,0.176
0.571,0.238,0.19
0.562,0.25,0.187
0.636,0.182,0.182
0.611,0.222,0.167
0.571,0.214,0.214
0.583,0.25,0.167
0.5,0.25,0.25
0.562,0.25,0.187
0.5,0.269,0.231
0.7216714153011232,0.24717356988288156,0.2817688538100692
0.8243029856408026,0.2375846625276664,0.19358630430508195
0.8579212815507392,0.3267434729152909,0.1530525614065048
0.7492560043585965,0.18065823071875378,0.18042702464297433
0.7301962271566035,0.030671975534220214,0.04950821674869671
0.6387712470759028,0.1257168879665576,0.2584247332595274
0.5831975924478789,0.09676962986647084,0.3845648768921554
0.6274223699513464,0.2797528204687924,0.08452518137865433
0.5955617275474817,0.30309225897098657,0.0929006422577697
0.7135698018345672,0.20293613100811952,0.18183062502067232
0.6348293387770604,0.4122278184508938,0.22565027752620662
0.60022890710441,0.3042544912103189,0.09991563500289777
0.7208863595004755,0.05403298761202244,0.06718139511015694
0.6986861235869124,0.30884665799954103,0.252136828118997
0.7174351717611759,0.18088963044107112,0.06314780096325726
0.6280155791605292,0.20393612290402124,0.30571222262189157
0.7403618289568462,0.04569598446372661,0.2544083969394795
0.6114917719583683,0.20530779996940413,0.2881676288840868
0.7770999522495952,0.3791280119116198,0.10607824767773615
0.6690787624148786,0.2831263431403564,0.29755451271223593
0.690082576215471,0.21643410233361826,0.06536650259939716
0.5803793375919329,0.3312525822394198,0.33562400285708227
0.6987989878419667,0.3223532897892024,0.25816360250476345
0.6354880245394876,0.2861395605508414,0.35380365664659696
0.7344173960890048,0.39146436558140063,0.0
0.7821902504375224,0.25870470682381713,0.17009926495341327
0.7211760776535503,0.05124310853991071,0.1650328112162488
0.7357112571511747,0.3977894044741516,0.14817297817263528
0.6571506397106812,0.18482429564154634,0.2675402117702074
0.7708751109659684,0.1820239796232961,0.2273267433113356
0.738707754934804,0.30786449905328894,0.14079469061226474
0.7052337853402231,0.19578918468678422,0.029648505186788132
0.7296120277064576,0.2761055272179889,0.2005113456642461
0.6885412866624854,0.10846292579495856,0.1449354677234641
0.6657285483473231,0.1697722730778381,0.1838714288333991
0.7524050856814539,0.43861859012105303,0.2044577812831839
0.7637550390722764,0.22755540842338326,0.0
0.7033486124550783,0.22802302099410265,0.46832421124852863
0.6927639035218878,0.28015473423336124,0.18352882302947568
0.5891321962380468,0.3362822814515021,0.29719330326867743
0.8291031947043046,0.10906125452052612,0.3402794310936099
0.5978148937207719,0.293685709380027,0.3950455625809979
0.6129463674869312,0.19337022703972281,0.19696513650876413
0.6876524345883801,0.07993365689338672,0.18285629748060273
0.5937696286273896,0.29735924306351813,0.10805757657661968
0.866993440501754,0.17167467076637627,0.15479384837943244
0.8193517217369669,0.11191356835660446,0.19874599346041294
0.8517142754282427,0.05325167654387722,0.23246338585323043
0.7759882794248423,0.2781822871777311,0.07630492891219182
0.5889543386915723,0.26619415656168977,0.2436984673233186
0.7750492850345876,0.23464482094969757,0.1319975278421509
0.7612253697161003,0.2643072473298681,0.1045648581973632
0.9365774511144757,0.24738329209117876,0.08086965027973514
0.794655360863383,0.11353183297726785,0.2897084603742452
0.8658595579007404,0.11793176816482896,0.29633761292443217
0.7532780926936499,0.332206015999449,0.37667929826539476
0.7134611883997128,0.15962638356425102,0.08704855703744765
0.6684189715034561,0.1922898290585896,0.2341151974816644
